edge_id,timestamp,src_system,src_component,src_object_name,dst_system,dst_component,dst_object_name,relation_type,change_id,is_breaking
500001,2025-10-01T00:00:00,Qlik,Qlik_App_03,Qlik_App_03_table_3557,BigData,Spark_Cluster_C,Spark_Cluster_C_table_3891,joins,100001,FALSE
500002,2025-10-01T00:00:00,Qlik,Qlik_App_07,Qlik_App_07_table_3153,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_1586,aggregates,100002,FALSE
500003,2025-10-01T00:00:00,OnPrem,OnPrem_Srv_09,OnPrem_Srv_09_table_8530,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_0879,derives,100003,FALSE
500004,2025-10-01T00:00:00,DataWarehouse,Staging,Staging_table_3562,DataWarehouse,Mart,Mart_table_6185,aggregates,100004,FALSE
500005,2025-10-01T00:00:00,Qlik,Qlik_App_03,Qlik_App_03_table_6020,Qlik,Qlik_App_07,Qlik_App_07_table_1758,copies,100005,FALSE
500006,2025-10-01T00:00:00,BigData,Hadoop_Cluster_B,Hadoop_Cluster_B_table_7393,OnPrem,OnPrem_Srv_10,OnPrem_Srv_10_table_1307,derives,100006,FALSE
500007,2025-10-01T00:00:00,OnPrem,OnPrem_Srv_04,OnPrem_Srv_04_table_1292,PostgreSQL,Audit,Audit_table_3582,derives,100007,FALSE
500008,2025-10-01T00:00:00,DataWarehouse,Staging,Staging_table_7778,DataWarehouse,Mart,Mart_table_0198,aggregates,100008,FALSE
500009,2025-10-01T00:00:00,PostgreSQL,Returns,Returns_table_8156,PostgreSQL,Shipping,Shipping_table_8121,joins,100009,FALSE
500010,2025-10-01T00:00:00,DataWarehouse,Staging,Staging_table_4500,PostgreSQL,Orders,Orders_table_6296,aggregates,100010,FALSE
500011,2025-10-01T00:00:00,OnPrem,OnPrem_Srv_09,OnPrem_Srv_09_table_4912,DataWarehouse,Staging,Staging_table_3988,derives,100011,FALSE
500012,2025-10-01T00:00:00,OnPrem,OnPrem_Srv_03,OnPrem_Srv_03_table_4894,Glue,Glue_Job_008,Glue_Job_008_table_7023,copies,100012,FALSE
500013,2025-10-01T00:00:00,PostgreSQL,Accounts,Accounts_table_5855,BigData,Spark_Cluster_C,Spark_Cluster_C_table_6710,derives,100013,FALSE
500014,2025-10-01T00:00:00,PostgreSQL,Auth,Auth_table_0538,PostgreSQL,Compliance,Compliance_table_5987,copies,100014,FALSE
500015,2025-10-01T00:00:00,Qlik,Qlik_App_07,Qlik_App_07_table_1149,Qlik,Qlik_App_06,Qlik_App_06_table_6294,derives,100015,FALSE
500016,2025-10-01T00:00:00,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_7080,OnPrem,OnPrem_Srv_04,OnPrem_Srv_04_table_7988,copies,100016,FALSE
500017,2025-10-01T08:00:00,Glue,Glue_Job_001,Glue_Job_001_table_0581,Glue,Glue_Job_016,Glue_Job_016_table_7005,copies,100017,FALSE
500018,2025-10-01T08:00:00,Qlik,Qlik_App_05,Qlik_App_05_table_4453,Qlik,Qlik_App_07,Qlik_App_07_table_5882,derives,100018,FALSE
500019,2025-10-01T08:00:00,Qlik,Qlik_App_04,Qlik_App_04_table_4001,PostgreSQL,Notifications,Notifications_table_5053,derives,100019,FALSE
500020,2025-10-01T08:00:00,PostgreSQL,Returns,Returns_table_8307,Qlik,Qlik_App_10,Qlik_App_10_table_8809,copies,100020,FALSE
500021,2025-10-01T08:00:00,PostgreSQL,Audit,Audit_table_2144,DataWarehouse,Mart,Mart_table_9880,copies,100021,FALSE
500022,2025-10-01T08:00:00,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_0718,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_2783,aggregates,100022,FALSE
500023,2025-10-01T08:00:00,Glue,Glue_Job_011,Glue_Job_011_table_0954,DataWarehouse,Core,Core_table_2540,joins,100023,FALSE
500024,2025-10-01T08:00:00,Glue,Glue_Job_019,Glue_Job_019_table_8692,OnPrem,OnPrem_Srv_08,OnPrem_Srv_08_table_9873,derives,100024,FALSE
500025,2025-10-01T08:00:00,PostgreSQL,Audit,Audit_table_0134,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_2106,aggregates,100025,FALSE
500026,2025-10-01T08:00:00,PostgreSQL,Promotions,Promotions_table_3585,Qlik,Qlik_App_09,Qlik_App_09_table_9589,derives,100026,FALSE
500027,2025-10-01T08:00:00,Qlik,Qlik_App_02,Qlik_App_02_table_7103,BigData,Hadoop_Cluster_A,Hadoop_Cluster_A_table_7313,joins,100027,TRUE
