change_id,timestamp,interval_index,system,component,environment,change_type,object_type,object_name,old_dtype,new_dtype,columns_added,columns_dropped,tables_added,tables_dropped,impacted_rows_estimate,severity,requires_backfill,user_id,ticket_id
100001,2025-10-01T00:00:00,0,PostgreSQL,Auth,prod,add_column,table,Auth_table_0770,,DECIMAL,2,0,0,0,1683,low,FALSE,user_044,TKT-35658
100002,2025-10-01T00:00:00,0,PostgreSQL,Shipping,prod,drop_table,table,Shipping_table_8434,,,0,0,0,1,1183,high,FALSE,user_026,TKT-78148
100003,2025-10-01T00:00:00,0,PostgreSQL,Returns,dev,modify_type,table,Returns_table_7990,DATE,BOOLEAN,0,0,0,0,2499,low,FALSE,user_036,TKT-42606
100004,2025-10-01T00:00:00,0,PostgreSQL,Catalog,prod,add_table,column,Catalog_column_2569,,,0,0,1,0,9905,low,TRUE,user_044,TKT-12695
100005,2025-10-01T00:00:00,0,Qlik,Qlik_App_07,prod,add_column,table,Qlik_App_07_table_8155,,VARCHAR,1,0,0,0,7886,low,FALSE,user_014,TKT-10206
100006,2025-10-01T00:00:00,0,Qlik,Qlik_App_05,prod,add_column,table,Qlik_App_05_table_6669,,DECIMAL,4,0,0,0,6605,low,FALSE,user_028,TKT-79163
100007,2025-10-01T00:00:00,0,Qlik,Qlik_App_09,prod,modify_type,view,Qlik_App_09_view_5531,INTEGER,TIMESTAMP,0,0,0,0,2007,low,FALSE,user_015,TKT-83530
100008,2025-10-01T00:00:00,0,DataWarehouse,Staging,dev,add_column,index,Staging_index_5856,,INTEGER,3,0,0,0,16495,low,FALSE,user_004,TKT-62662
100009,2025-10-01T00:00:00,0,DataWarehouse,Core,prod,add_column,table,Core_table_4283,,TIMESTAMP,3,0,0,0,53503,low,FALSE,user_007,TKT-93763
100010,2025-10-01T00:00:00,0,BigData,Hadoop_Cluster_B,prod,add_view,table,Hadoop_Cluster_B_table_5424,,,0,0,0,0,40355,low,TRUE,user_005,TKT-39855
100011,2025-10-01T00:00:00,0,BigData,Hadoop_Cluster_B,prod,modify_type,column,Hadoop_Cluster_B_column_5540,TIMESTAMP,DECIMAL,0,0,0,0,29527,high,FALSE,user_046,TKT-87505
100012,2025-10-01T00:00:00,0,BigData,Spark_Cluster_C,dev,modify_type,table,Spark_Cluster_C_table_8051,TIMESTAMP,BOOLEAN,0,0,0,0,10782,low,FALSE,user_030,TKT-89909
100013,2025-10-01T00:00:00,0,Glue,Glue_Job_003,dev,modify_type,table,Glue_Job_003_table_1070,DATE,TIMESTAMP,0,0,0,0,2632,high,TRUE,user_035,TKT-76235
100014,2025-10-01T00:00:00,0,Glue,Glue_Job_003,dev,drop_column,table,Glue_Job_003_table_1687,BIGINT,,0,0,0,0,6250,medium,FALSE,user_026,TKT-76320
100015,2025-10-01T00:00:00,0,Glue,Glue_Job_018,prod,add_index,view,Glue_Job_018_view_4781,,,0,0,0,0,1709,low,TRUE,user_015,TKT-23403
100016,2025-10-01T00:00:00,0,OnPrem,OnPrem_Srv_04,prod,add_table,table,OnPrem_Srv_04_table_3125,,,0,0,1,0,2623,low,FALSE,user_044,TKT-97142
100017,2025-10-01T08:00:00,1,PostgreSQL,Inventory,prod,drop_table,table,Inventory_table_9205,,,0,0,0,1,633,medium,FALSE,user_025,TKT-55543
100018,2025-10-01T08:00:00,1,PostgreSQL,Orders,prod,add_column,table,Orders_table_9436,,DATE,0,0,0,0,2115,low,FALSE,user_005,TKT-53919
100019,2025-10-01T08:00:00,1,PostgreSQL,Analytics,prod,add_index,view,Analytics_view_2490,,,0,0,0,0,72188,low,FALSE,user_016,TKT-61991
100020,2025-10-01T08:00:00,1,Qlik,Qlik_App_01,prod,modify_type,table,Qlik_App_01_table_5727,TIMESTAMP,BIGINT,0,0,0,0,3242,low,FALSE,user_050,TKT-37350
100021,2025-10-01T08:00:00,1,Qlik,Qlik_App_07,prod,add_table,column,Qlik_App_07_column_7544,,,0,0,1,0,6720,high,FALSE,user_010,TKT-48756
100022,2025-10-01T08:00:00,1,DataWarehouse,Mart,prod,modify_type,table,Mart_table_8788,DECIMAL,INTEGER,0,0,0,0,41341,low,FALSE,user_019,TKT-57280
100023,2025-10-01T08:00:00,1,DataWarehouse,Mart,prod,add_column,table,Mart_table_7193,,TEXT,4,0,0,0,10947,low,FALSE,user_005,TKT-33714
100024,2025-10-01T08:00:00,1,DataWarehouse,Staging,prod,add_table,table,Staging_table_6939,,,0,0,1,0,21833,low,TRUE,user_005,TKT-98092
100025,2025-10-01T08:00:00,1,BigData,Hadoop_Cluster_A,prod,add_column,column,Hadoop_Cluster_A_column_4269,,DATE,3,0,0,0,38357,high,FALSE,user_028,TKT-71629
100026,2025-10-01T08:00:00,1,BigData,Hadoop_Cluster_A,prod,add_view,table,Hadoop_Cluster_A_table_5349,,,0,0,0,0,45851,low,FALSE,user_019,TKT-23843
100027,2025-10-01T08:00:00,1,BigData,Hadoop_Cluster_B,prod,drop_column,view,Hadoop_Cluster_B_view_1354,DECIMAL,,0,0,0,0,9176,high,FALSE,user_028,TKT-71529
100028,2025-10-01T08:00:00,1,BigData,Hadoop_Cluster_A,dev,add_column,column,Hadoop_Cluster_A_column_1582,,VARCHAR,6,0,0,0,17416,low,FALSE,user_033,TKT-71813
100029,2025-10-01T08:00:00,1,Glue,Glue_Job_016,prod,add_table,column,Glue_Job_016_column_5990,,,0,0,1,0,3520,high,TRUE,user_010,TKT-42201
100030,2025-10-01T08:00:00,1,Glue,Glue_Job_004,dev,add_column,column,Glue_Job_004_column_7240,,BOOLEAN,4,0,0,0,6684,low,FALSE,user_005,TKT-34285
100031,2025-10-01T08:00:00,1,Glue,Glue_Job_014,prod,modify_type,table,Glue_Job_014_table_6882,TIMESTAMP,BIGINT,0,0,0,0,528,medium,FALSE,user_034,TKT-93251
100032,2025-10-01T08:00:00,1,Glue,Glue_Job_017,dev,add_index,table,Glue_Job_017_table_2833,,,0,0,0,0,12636,medium,FALSE,user_024,TKT-83477
100033,2025-10-01T16:00:00,2,PostgreSQL,Orders,dev,add_index,table,Orders_table_7571,,,0,0,0,0,1802,medium,FALSE,user_022,TKT-89252
100034,2025-10-01T16:00:00,2,PostgreSQL,Promotions,dev,drop_column,table,Promotions_table_4144,DATE,,0,0,0,0,8478,low,TRUE,user_008,TKT-89714
100035,2025-10-01T16:00:00,2,Qlik,Qlik_App_08,prod,add_table,column,Qlik_App_08_column_5871,,,0,0,1,0,925,low,FALSE,user_037,TKT-20267
100036,2025-10-01T16:00:00,2,Qlik,Qlik_App_04,prod,add_column,table,Qlik_App_04_table_6372,,BOOLEAN,4,0,0,0,567,low,FALSE,user_026,TKT-58447
100037,2025-10-01T16:00:00,2,DataWarehouse,Mart,dev,add_column,view,Mart_view_3736,,BOOLEAN,1,0,0,0,48897,low,FALSE,user_049,TKT-94471
100038,2025-10-01T16:00:00,2,BigData,Hadoop_Cluster_B,dev,drop_column,table,Hadoop_Cluster_B_table_3745,TIMESTAMP,,0,0,0,0,25468,low,FALSE,user_023,TKT-19865
100039,2025-10-01T16:00:00,2,BigData,Spark_Cluster_C,prod,add_column,column,Spark_Cluster_C_column_7985,,DATE,2,0,0,0,26101,low,FALSE,user_035,TKT-15415
100040,2025-10-01T16:00:00,2,BigData,Hadoop_Cluster_A,prod,drop_table,table,Hadoop_Cluster_A_table_4228,,,0,0,0,1,24086,low,FALSE,user_042,TKT-94056
100041,2025-10-01T16:00:00,2,BigData,Hadoop_Cluster_A,prod,add_index,table,Hadoop_Cluster_A_table_4019,,,0,0,0,0,2232,low,FALSE,user_008,TKT-97487
100042,2025-10-01T16:00:00,2,BigData,Hadoop_Cluster_A,prod,add_column,column,Hadoop_Cluster_A_column_4613,,VARCHAR,1,0,0,0,92270,low,FALSE,user_047,TKT-81907
100043,2025-10-01T16:00:00,2,BigData,Hadoop_Cluster_A,prod,modify_type,column,Hadoop_Cluster_A_column_0794,VARCHAR,VARCHAR,0,0,0,0,7643,low,TRUE,user_038,TKT-22999
100044,2025-10-01T16:00:00,2,Glue,Glue_Job_009,dev,add_column,column,Glue_Job_009_column_1793,,TIMESTAMP,1,0,0,0,1784,medium,FALSE,user_023,TKT-29256
